Rank,TeamCountry,Gold ,Silver,Bronze ,Total,Rank by Total
1,United States,40,44,42,126,1
2,China,40,27,24,91,2
3,Japan,20,12,13,45,6
4,Australia,18,19,16,53,5
5,France,16,26,22,64,4
6,Netherlands,15,7,12,34,8
7,Great Britain,14,22,29,65,3
8,Korea,13,9,10,32,10
9,Italy,12,13,15,40,7
10,Germany,12,13,8,33,9
11,New Zealand,10,7,3,20,12
12,Canada,9,7,11,27,11
13,Uzbekistan,8,2,3,13,16
14,Hungary,6,7,6,19,14
15,Spain,5,4,9,18,15
16,Sweden,4,4,3,11,18
17,Kenya,4,2,5,11,18
18,Norway,4,1,3,8,21
19,Ireland,4,0,3,7,22
20,Brazil,3,7,10,20,13
21,IR Iran,3,6,3,12,17
22,Ukraine,3,5,4,12,17
23,Romania,3,4,2,9,20
24,Georgia,3,3,1,7,22
25,Belgium,3,1,6,10,19
26,Bulgaria,3,1,3,7,22
27,Serbia,3,1,1,5,24
28,Czechia,3,0,2,5,24
29,Denmark,2,2,5,9,20
30,Azerbaijan,2,2,3,7,22
31,Croatia,2,2,3,7,22
32,Cuba,2,1,6,9,20
33,Bahrain,2,1,1,4,25
34,Slovenia,2,1,0,3,26
35,Chinese Taipei,2,0,5,7,22
36,Austria,2,0,3,5,24
36,"Hong Kong, China",2,0,2,4,25
38,Philippines,2,0,2,4,25
39,Algeria,2,0,1,3,26
39,Indonesia,2,0,0,2,27
41,Israel,1,5,1,7,22
42,Poland,1,4,5,10,19
42,Kazakhstan,1,3,3,7,22
44,Jamaica,1,3,2,6,23
45,South Africa,1,3,2,6,23
46,Thailand,1,3,2,6,23
46,AIN,1,3,1,5,24
48,Ethiopia,1,3,0,4,25
49,Switzerland,1,2,5,8,21
50,Ecuador,1,2,2,5,24
50,Portugal,1,2,1,4,25
52,Greece,1,1,6,8,21
53,Argentina,1,1,1,3,26
54,Egypt,1,1,1,3,26
55,Tunisia,1,1,1,3,26
56,Botswana,1,1,0,2,27
56,Chile,1,1,0,2,27
58,Saint Lucia,1,1,0,2,27
59,Dominican Republic,1,0,2,3,26
59,Uganda,1,1,0,2,27
59,Guatemala,1,0,1,2,27
59,Morocco,1,0,1,2,27
63,Türkiye,0,3,5,8,21
63,Dominica,1,0,0,1,28
63,Pakistan,1,0,0,1,28
66,Mexico,0,3,2,5,24
67,Armenia,0,3,1,4,25
68,Colombia,0,3,1,4,25
69,DPR Korea,0,2,4,6,23
70,Kyrgyzstan,0,2,4,6,23
71,Lithuania,0,2,2,4,25
72,India,0,1,5,6,23
72,Republic of Moldova,0,1,3,4,25
74,Kosovo,0,1,1,2,27
74,Cyprus,0,1,0,1,28
74,Fiji,0,1,0,1,28
77,Tajikistan,0,0,3,3,26
77,Albania,0,0,2,2,27
77,Grenada,0,0,2,2,27
77,Jordan,0,1,0,1,28
77,Mongolia,0,1,0,1,28
77,Panama,0,1,0,1,28
83,Malaysia,0,0,2,2,27
84,Puerto Rico,0,0,2,2,27
85,Cabo Verde,0,0,1,1,28
86,Côte d'Ivoire,0,0,1,1,28
86,EOR,0,0,1,1,28
86,Peru,0,0,1,1,28
86,Qatar,0,0,1,1,28
86,Singapore,0,0,1,1,28
86,Slovakia,0,0,1,1,28
86,Zambia,0,0,1,1,28
